date,PFIX_close
2022-08-22,26.1938
2022-08-23,25.7153
2022-08-24,26.5448
2022-08-25,25.3871
2022-08-26,24.4631
2022-08-29,25.0560
2022-08-30,24.9146
2022-08-31,25.7720
2022-09-01,27.2132
2022-09-02,26.8848
2022-09-06,28.7273
2022-09-07,27.6601
2022-09-08,28.3442
2022-09-09,28.1572
2022-09-12,28.4628
2022-09-13,28.1390
2022-09-14,27.4594
2022-09-15,27.9429
2022-09-16,28.6863
2022-09-19,28.8550
2022-09-20,29.2062
2022-09-21,27.9064
2022-09-22,29.1195
2022-09-23,28.5449
2022-09-26,29.8674
2022-09-27,31.1175
2022-09-28,29.6753
2022-09-29,30.5014
2022-09-30,31.1221
2022-10-03,29.9537
2022-10-04,29.8031
2022-10-05,30.8209
2022-10-06,30.8437
2022-10-07,30.9350
2022-10-10,31.9893
2022-10-11,31.8067
2022-10-12,32.0714
2022-10-13,32.4183
2022-10-14,32.5689
2022-10-17,33.4361
2022-10-18,33.1211
2022-10-19,34.6775
2022-10-20,37.0690
2022-10-21,38.8581
2022-10-24,39.7436
2022-10-25,36.9549
2022-10-26,35.1702
2022-10-27,33.7909
2022-10-28,35.0606
2022-10-31,35.4670
2022-11-01,35.1314
2022-11-02,34.8870
2022-11-03,35.1268
2022-11-04,35.7684
2022-11-07,36.6225
2022-11-08,35.6999
2022-11-09,35.7365
2022-11-10,33.2064
2022-11-11,32.7405
2022-11-14,32.8136
2022-11-15,31.5120
2022-11-16,30.4936
2022-11-17,30.9777
2022-11-18,31.4390
2022-11-21,30.5347
2022-11-22,29.8040
2022-11-23,29.8177
2022-11-25,30.2464
2022-11-28,29.7111
2022-11-29,30.8640
2022-11-30,30.9189
2022-12-01,28.5307
2022-12-02,28.5032
2022-12-05,29.5418
2022-12-06,28.9791
2022-12-07,28.4621
2022-12-08,29.0523
2022-12-09,30.5758
2022-12-12,30.2144
2022-12-13,29.3771
2022-12-14,28.7595
2022-12-15,27.7712
2022-12-16,27.9497
2022-12-19,28.9379
2022-12-20,30.1549
2022-12-21,30.0679
2022-12-22,30.5392
2022-12-23,31.7196
2022-12-27,33.0860
2022-12-28,33.4255
2022-12-29,32.5861
2022-12-30,32.8475
2023-01-03,30.9577
2023-01-04,30.7604
2023-01-05,30.2972
2023-01-06,28.6183
2023-01-09,28.4165
2023-01-10,29.7238
2023-01-11,28.4486
2023-01-12,28.2789
2023-01-13,29.2146
2023-01-17,29.3110
2023-01-18,28.1642
2023-01-19,27.9853
2023-01-20,28.7284
2023-01-23,28.7605
2023-01-24,27.8316
2023-01-25,27.7009
2023-01-26,27.8112
2023-01-27,27.9582
2023-01-30,28.0777
2023-01-31,27.4390
2023-02-01,27.3287
2023-02-02,26.9474
2023-02-03,27.1266
2023-02-06,26.9887
2023-02-07,27.6274
2023-02-08,27.0393
2023-02-09,27.2874
2023-02-10,28.0869
2023-02-13,27.8801
2023-02-14,28.0042
2023-02-15,28.6060
2023-02-16,29.7271
2023-02-17,29.6996
2023-02-21,31.2342
2023-02-22,31.0963
2023-02-23,30.0166
2023-02-24,30.2417
2023-02-27,30.3888
2023-02-28,29.7593
2023-03-01,30.6001
2023-03-02,31.4639
2023-03-03,30.0487
2023-03-06,30.8298
2023-03-07,30.1912
2023-03-08,29.7042
2023-03-09,29.4652
2023-03-10,28.5739
2023-03-13,29.5709
2023-03-14,30.8666
2023-03-15,32.0979
2023-03-16,30.0534
2023-03-17,29.4790
2023-03-20,29.2723
2023-03-21,29.4744
2023-03-22,28.2569
2023-03-23,29.1023
2023-03-24,28.9828
2023-03-27,29.5663
2023-03-28,29.3871
2023-03-29,29.0517
2023-03-30,28.6842
2023-03-31,28.0042
2023-04-03,27.9352
2023-04-04,27.9031
2023-04-05,27.7514
2023-04-06,27.6825
2023-04-10,27.9904
2023-04-11,27.4390
2023-04-12,27.5952
2023-04-13,27.7560
2023-04-14,28.0823
2023-04-17,28.9598
2023-04-18,28.9415
2023-04-19,28.8312
2023-04-20,28.6566
2023-04-21,29.5571
2023-04-24,29.4698
2023-04-25,29.3732
2023-04-26,30.2383
2023-04-27,29.5619
2023-04-28,28.8578
2023-05-01,30.7307
2023-05-02,29.4422
2023-05-03,29.4648
2023-05-04,30.0957
2023-05-05,30.4500
2023-05-08,30.4316
2023-05-09,30.2153
2023-05-10,30.1937
2023-05-11,29.3272
2023-05-12,29.7459
2023-05-15,30.1279
2023-05-16,29.9208
2023-05-17,30.0837
2023-05-18,30.4868
2023-05-19,30.9976
2023-05-22,31.6262
2023-05-23,31.3335
2023-05-24,31.4808
2023-05-25,31.4117
2023-05-26,31.2273
2023-05-30,30.5315
2023-05-31,30.4623
2023-06-01,30.2780
2023-06-02,30.7287
2023-06-05,30.4854
2023-06-06,29.8909
2023-06-07,30.4163
2023-06-08,29.9697
2023-06-09,29.7941
2023-06-12,29.3899
2023-06-13,29.9185
2023-06-14,29.1120
2023-06-15,28.7249
2023-06-16,28.9277
2023-06-20,28.3562
2023-06-21,28.2825
2023-06-22,28.9093
2023-06-23,28.3286
2023-06-26,28.5489
2023-06-27,28.6883
2023-06-28,28.3924
2023-06-29,29.3576
2023-06-30,28.9791
2023-07-03,29.1979
2023-07-05,29.6253
2023-07-06,30.6916
2023-07-07,31.8041
2023-07-10,31.9656
2023-07-11,31.3840
2023-07-12,30.8278
2023-07-13,30.1700
2023-07-14,29.7223
2023-07-17,29.2791
2023-07-18,28.9975
2023-07-19,28.5221
2023-07-20,29.3022
2023-07-21,29.6069
2023-07-24,29.5607
2023-07-25,29.6909
2023-07-26,29.6530
2023-07-27,30.9012
2023-07-28,31.4791
2023-07-31,31.3173
2023-08-01,32.2650
2023-08-02,33.3515
2023-08-03,35.7463
2023-08-04,35.3163
2023-08-07,35.9821
2023-08-08,35.2608
2023-08-09,34.9835
2023-08-10,35.4666
2023-08-11,35.5151
2023-08-14,35.4412
2023-08-15,36.3935
2023-08-16,36.8004
2023-08-17,37.8591
2023-08-18,37.9931
2023-08-21,39.5234
2023-08-22,39.0703
2023-08-23,37.1425
2023-08-24,37.1147
2023-08-25,36.5368
2023-08-28,35.8517
2023-08-29,35.4120
2023-08-30,35.4814
2023-08-31,35.3379
2023-09-01,36.6294
2023-09-05,37.6524
2023-09-06,37.4904
2023-09-07,37.4950
2023-09-08,37.3330
2023-09-11,37.8052
2023-09-12,37.2113
2023-09-13,37.3284
2023-09-14,37.3840
2023-09-15,37.7126
2023-09-18,37.4071
2023-09-19,37.8839
2023-09-20,37.6062
2023-09-21,39.7679
2023-09-22,39.3513
2023-09-25,41.9435
2023-09-26,42.6425
2023-09-27,43.6388
2023-09-28,43.7037
2023-09-29,44.2598
2023-10-02,45.9698
2023-10-03,49.0746
2023-10-04,48.1709
2023-10-05,48.5509
2023-10-06,49.8253
2023-10-09,48.3841
2023-10-10,48.3285
2023-10-11,45.4600
2023-10-12,47.5314
2023-10-13,46.1412
2023-10-16,47.2673
2023-10-17,48.2080
2023-10-18,49.1302
2023-10-19,51.4518
2023-10-20,51.6465
2023-10-23,50.1543
2023-10-24,48.5324
2023-10-25,50.6502
2023-10-26,49.4535
2023-10-27,49.6715
2023-10-30,50.0101
2023-10-31,49.8616
2023-11-01,47.9692
2023-11-02,46.1046
2023-11-03,46.0026
2023-11-06,45.7243
2023-11-07,44.8105
2023-11-08,43.0109
2023-11-09,44.7270
2023-11-10,44.6853
2023-11-13,44.8198
2023-11-14,43.0851
2023-11-15,43.9710
2023-11-16,43.0480
2023-11-17,42.5331
2023-11-20,41.8096
2023-11-21,42.0740
2023-11-22,41.2808
2023-11-24,41.8467
2023-11-27,40.7137
2023-11-28,40.6580
2023-11-29,39.8221
2023-11-30,40.6580
2023-12-01,39.5110
2023-12-04,39.8361
2023-12-05,38.0205
2023-12-06,37.0314
2023-12-07,37.1986
2023-12-08,37.7837
2023-12-11,37.6769
2023-12-12,37.2590
2023-12-13,36.1585
2023-12-14,33.5999
2023-12-15,32.9638
2023-12-18,33.3492
2023-12-19,33.1913
2023-12-20,32.9963
2023-12-21,33.7764
2023-12-22,34.2268
2023-12-26,34.2936
2023-12-27,33.6254
2023-12-28,34.2676
2023-12-29,34.7101
2024-01-02,35.0919
2024-01-03,35.4564
2024-01-04,37.4436
2024-01-05,38.2072
2024-01-08,38.0510
2024-01-09,38.1378
2024-01-10,38.5022
2024-01-11,37.7820
2024-01-12,37.4262
2024-01-16,39.5261
2024-01-17,38.9274
2024-01-18,40.6282
2024-01-19,39.7431
2024-01-22,39.8386
2024-01-23,40.5501
2024-01-24,42.1728
2024-01-25,41.1575
2024-01-26,41.3053
2024-01-29,40.2103
2024-01-30,38.6547
2024-01-31,37.7857
2024-02-01,35.9694
2024-02-02,38.6199
2024-02-05,40.3233
2024-02-06,38.9328
2024-02-07,39.6280
2024-02-08,41.0706
2024-02-09,41.2531
2024-02-12,41.2184
2024-02-13,44.0253
2024-02-14,43.4518
2024-02-15,43.0607
2024-02-16,43.7125
2024-02-20,43.3214
2024-02-21,43.5561
2024-02-22,43.3649
2024-02-23,41.2097
2024-02-26,41.7322
2024-02-27,41.9325
2024-02-28,41.1661
2024-02-29,40.6784
2024-03-01,40.1646
2024-03-04,40.7655
2024-03-05,38.9280
2024-03-06,38.3968
2024-03-07,38.8235
2024-03-08,38.9193
2024-03-11,38.8148
2024-03-12,39.4679
2024-03-13,39.8947
2024-03-14,41.7061
2024-03-15,41.5754
2024-03-18,41.9064
2024-03-19,41.6974
2024-03-20,41.7844
2024-03-21,41.2793
2024-03-22,40.4294
2024-03-25,41.2375
2024-03-26,40.7139
2024-03-27,39.4222
2024-03-28,39.0993
2024-04-01,41.1415
2024-04-02,42.0143
2024-04-03,42.0928
2024-04-04,41.0019
2024-04-05,42.8521
2024-04-08,42.8347
2024-04-09,41.4557
2024-04-10,44.3445
2024-04-11,45.3831
2024-04-12,44.5715
2024-04-15,47.2944
2024-04-16,47.9054
2024-04-17,46.2210
2024-04-18,46.2297
2024-04-19,46.0289
2024-04-22,45.7322
2024-04-23,45.5402
2024-04-24,46.6748
2024-04-25,48.3717
2024-04-26,47.6107
2024-04-29,46.4211
2024-04-30,47.4445
2024-05-01,46.5261
2024-05-02,45.9663
2024-05-03,44.8116
2024-05-06,43.8495
2024-05-07,42.8260
2024-05-08,43.3596
2024-05-09,42.9048
2024-05-10,43.6483
2024-05-13,43.1147
2024-05-14,42.7473
2024-05-15,41.2341
2024-05-16,41.2603
2024-05-17,42.1175
2024-05-20,42.1875
2024-05-21,41.5227
2024-05-22,41.4877
2024-05-23,42.1613
2024-05-24,41.8718
2024-05-28,43.4596
2024-05-29,45.1790
2024-05-30,44.0912
2024-05-31,43.4245
2024-06-03,41.8454
2024-06-04,40.4769
2024-06-05,39.9681
2024-06-06,39.9506
2024-06-07,41.5472
2024-06-10,42.5209
2024-06-11,41.7489
2024-06-12,40.8805
2024-06-13,39.0996
2024-06-14,38.4943
